sic8,is_1to1_NAICS,Description,Baseline_Subindustry,Division,span_warn,Crosslisting,L1,L2,L3,L4,NAICS_Suggestion,METRO_ACS0812,NAICS,Notes,Baseline_Type,SIC4,SIC2,bundle_rep,flag____,strong,exists,misuse_warn,disfavored_warn,dubious_warn,ambiguous_warn
26750104,N,Waterproof cardboard: made from purchased material,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750202,N,"Folders, filing, die-cut: made from purchased mate","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750203,N,"Index cards, die-cut: made from purchased material","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750204,N,Jacquard (textile weaving) cards: from purchased m,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750201,N,Cards: die-cut and unprinted: made from purchased ,"",Manufacturing,0,,NEC,GOODS,OFFICE,PAPER,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750206,N,Manila folders,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750207,N,"Photographic mats, mounts, and folders","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750208,N,"Tabulating and time cards, die-cut: purchased pape","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750301,N,"Lace, paper, die-cut: made from purchased material","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750302,N,"Letters, cardboard, die-cut: from purchased materi","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750303,N,"Stencil board, die-cut: made from purchased materi","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750304,N,"Stencil cards, die-cut: made from purchased materi","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
20340205,N,"Fruits, freeze-dried","",Manufacturing,0,,NEC,GOODS,FOOD,PROCESS,,,,,"",2034,20,1,N,Y,Y,0,0,0,0
26750400,N,"Food container products and parts, from die-cut pa","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750401,N,"Bottle caps and tops, die-cut: from purchased mate","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750402,N,"Egg cartons, die-cut: made from purchased material","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750403,N,"Egg case fillers and flats, die-cut: purchased mat","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750404,N,"Milk filter disks, die-cut: made from purchased ma","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26759901,N,"Chip board, pasted, die-cut: from purchased materi","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26759902,N,"Cutouts, paper or paperboard: made from purchased ","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26759903,N,Liners for freight car doors: reinforced with meta,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26759904,N,"Newsboard, pasted, die-cut: made from purchased ma","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26759905,N,Paper die-cutting,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26739900,N,"Bags: plastic, laminated, and coated, nec","",Manufacturing,0,,NEC,GOODS,PETRO,PLASTIC,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26739901,N,"Cellophane bags, unprinted: made from purchased ma","",Manufacturing,0,,NEC,GOODS,PETRO,PLASTIC,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26740000,Y,Bags: uncoated paper and multiwall,"",Manufacturing,0,,NEC,GOODS,MSPEC,PAPER,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26730202,N,Trash bags (plastic film): made from purchased mat,"",Manufacturing,0,,,,,,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26730302,N,Pliofilm bags: made from purchased materials,"",Manufacturing,0,,NEC,GOODS,PETRO,PLASTIC,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26730300,N,Plastic and pliofilm bags,"",Manufacturing,0,,NEC,GOODS,PETRO,PLASTIC,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26759906,N,Paperboard die-cutting,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26760101,Y,Cleansing tissues: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760102,Y,Facial tissues: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760203,Y,"Tampons, sanitary: made from purchased paper","",Manufacturing,0,,NEC,GOODS,DNSNEC,NDUR,,,"",,"",2676,26,1,Y,Y,Y,0,0,0,0
26760200,Y,Feminine hygiene paper products,"",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760201,Y,"Napkins, sanitary: made from purchased paper","",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760202,Y,Panty liners: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760300,Y,Infant and baby paper products,"",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760301,Y,"Diapers, paper (disposable): made from purchased p","",Manufacturing,0,,,,,,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26780100,Y,"Memorandum books, notebooks, and looseleaf filler ","",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780101,Y,Looseleaf fillers or ream paper in filler sizes,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780102,Y,"Memorandum books, except printed: purchased materi","",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780103,Y,Notebooks: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780200,Y,Tablets and pads,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780201,Y,"Desk pads, paper: made from purchased materials","",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780202,Y,Newsprint tablets and pads: made from purchased ma,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780204,Y,"Tablets, correspondence type: made from purchased ","",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780300,Y,Papeteries and writing paper sets,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780301,Y,Papeteries: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26780302,Y,Stationery: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26790000,N,"Converted paper products, nec","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790101,N,"Conduits, fiber (pressed pulp): from purchased mat","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790102,N,"Pallet spacers, fiber: made from purchased materia","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790103,N,"Papier mache articles, except statuary and art goo","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
20340208,N,"Prunes, dried","",Manufacturing,0,,NEC,GOODS,FOOD,PROCESS,,,,,"",2034,20,1,N,Y,Y,0,0,0,0
26790200,N,"Food dishes and utensils, from pressed and molded ","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790201,N,"Cups, pressed and molded pulp: made from purchased","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790202,N,"Dishes, pressed and molded pulp: from purchased ma","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790203,N,"Egg cartons, molded pulp: made from purchased mate","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790204,N,"Egg case filler flats, molded pulp: from purchased","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
01319901,Y,Cottonseed farm,"","Agriculture, Forestry, And Fishing",0,,OOS,EXTRACT,FARM,EOP,,,"",,"",0131,01,1,N,Y,Y,0,0,0,0
26790205,N,"Plates, pressed and molded pulp: from purchased ma","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
